Player Name,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Economy Rate,Strike Rate,4 Wicket Hauls,5 Wicket Hauls,Year
Mohammed Shami,16,16,141.3,6,872,38,4/36,22.94,6.16,22.3,4,0,2014
RA Jadeja,17,17,160.0,6,817,25,4/28,32.68,5.1,38.4,2,0,2014
R Ashwin,17,17,161.5,8,768,23,3/31,33.39,4.74,42.2,0,0,2014
UT Yadav,10,9,71.2,3,381,17,4/53,22.41,5.34,25.1,1,0,2014
B Kumar,16,16,137.2,10,635,14,2/14,45.35,4.62,58.8,0,0,2014
AR Patel,9,7,63.1,3,284,14,3/40,20.28,4.49,27,0,0,2014
STR Binny,6,5,25.4,3,117,9,6/4,13,4.55,17.1,0,1,2014
DS Kulkarni,4,4,34.2,1,184,8,4/34,23,5.35,25.7,1,0,2014
A Mishra,6,5,50.0,3,216,8,2/28,27,4.32,37.5,0,0,2014
SK Raina,17,11,49.0,0,241,7,1/12,34.42,4.91,42,0,0,2014
I Sharma,5,5,37.0,2,224,6,4/34,37.33,6.05,37,1,0,2014
VR Aaron,5,5,35.1,0,263,5,2/60,52.6,7.47,42.2,0,0,2014
MM Sharma,6,5,31.4,4,141,4,4/22,35.25,4.45,47.5,1,0,2014
Parvez Rasool,1,1,10.0,0,60,2,2/60,30,6,30,0,0,2014
AT Rayudu,20,6,16.0,0,106,2,1/8,53,6.62,48,0,0,2014
V Kohli,21,7,17.0,0,107,1,1/36,107,6.29,102,0,0,2014
KV Sharma,2,2,19.0,1,125,0,-,-,6.57,-,0,0,2014
RG Sharma,12,1,5.0,0,29,0,-,-,5.8,-,0,0,2014
RV Uthappa,5,1,0.2,0,0,0,-,-,0,-,0,0,2014
S Dhawan,18,-,-,-,-,-,-,-,-,-,-,-,2014
MS Dhoni,12,-,-,-,-,-,-,-,-,-,-,-,2014
KM Jadhav,1,-,-,-,-,-,-,-,-,-,-,-,2014
KD Karthik,4,-,-,-,-,-,-,-,-,-,-,-,2014
CA Pujara,3,-,-,-,-,-,-,-,-,-,-,-,2014
AM Rahane,24,-,-,-,-,-,-,-,-,-,-,-,2014
WP Saha,6,-,-,-,-,-,-,-,-,-,-,-,2014
MK Tiwary,1,-,-,-,-,-,-,-,-,-,-,-,2014
